row_id,date,num_sold,Finland,Norway,Sweden,KaggleMart,KaggleRama,Kaggle Hat,Kaggle Mug,Kaggle Sticker
0,2015-01-01,329,1,0,0,1,0,0,1,0
1,2015-01-01,520,1,0,0,1,0,1,0,0
2,2015-01-01,146,1,0,0,1,0,0,0,1
3,2015-01-01,572,1,0,0,0,1,0,1,0
4,2015-01-01,911,1,0,0,0,1,1,0,0
5,2015-01-01,283,1,0,0,0,1,0,0,1
6,2015-01-01,526,0,1,0,1,0,0,1,0
7,2015-01-01,906,0,1,0,1,0,1,0,0
8,2015-01-01,250,0,1,0,1,0,0,0,1
9,2015-01-01,1005,0,1,0,0,1,0,1,0
10,2015-01-01,1461,0,1,0,0,1,1,0,0
11,2015-01-01,395,0,1,0,0,1,0,0,1
12,2015-01-01,440,0,0,1,1,0,0,1,0
13,2015-01-01,624,0,0,1,1,0,1,0,0
14,2015-01-01,175,0,0,1,1,0,0,0,1
15,2015-01-01,706,0,0,1,0,1,0,1,0
16,2015-01-01,1195,0,0,1,0,1,1,0,0
17,2015-01-01,324,0,0,1,0,1,0,0,1
18,2015-01-02,318,1,0,0,1,0,0,1,0
19,2015-01-02,493,1,0,0,1,0,1,0,0
20,2015-01-02,127,1,0,0,1,0,0,0,1
21,2015-01-02,544,1,0,0,0,1,0,1,0
22,2015-01-02,794,1,0,0,0,1,1,0,0
23,2015-01-02,249,1,0,0,0,1,0,0,1
24,2015-01-02,538,0,1,0,1,0,0,1,0
25,2015-01-02,845,0,1,0,1,0,1,0,0
26,2015-01-02,237,0,1,0,1,0,0,0,1
27,2015-01-02,949,0,1,0,0,1,0,1,0
28,2015-01-02,1446,0,1,0,0,1,1,0,0
29,2015-01-02,415,0,1,0,0,1,0,0,1
30,2015-01-02,384,0,0,1,1,0,0,1,0
31,2015-01-02,572,0,0,1,1,0,1,0,0
32,2015-01-02,155,0,0,1,1,0,0,0,1
33,2015-01-02,653,0,0,1,0,1,0,1,0
34,2015-01-02,986,0,0,1,0,1,1,0,0
35,2015-01-02,293,0,0,1,0,1,0,0,1
36,2015-01-03,360,1,0,0,1,0,0,1,0
37,2015-01-03,535,1,0,0,1,0,1,0,0
38,2015-01-03,141,1,0,0,1,0,0,0,1
39,2015-01-03,579,1,0,0,0,1,0,1,0
40,2015-01-03,843,1,0,0,0,1,1,0,0
41,2015-01-03,265,1,0,0,0,1,0,0,1
42,2015-01-03,614,0,1,0,1,0,0,1,0
43,2015-01-03,930,0,1,0,1,0,1,0,0
44,2015-01-03,254,0,1,0,1,0,0,0,1
45,2015-01-03,1029,0,1,0,0,1,0,1,0
46,2015-01-03,1631,0,1,0,0,1,1,0,0
47,2015-01-03,451,0,1,0,0,1,0,0,1
48,2015-01-03,420,0,0,1,1,0,0,1,0
49,2015-01-03,630,0,0,1,1,0,1,0,0
50,2015-01-03,173,0,0,1,1,0,0,0,1
51,2015-01-03,734,0,0,1,0,1,0,1,0
52,2015-01-03,1167,0,0,1,0,1,1,0,0
53,2015-01-03,319,0,0,1,0,1,0,0,1
54,2015-01-04,332,1,0,0,1,0,0,1,0
55,2015-01-04,544,1,0,0,1,0,1,0,0
56,2015-01-04,125,1,0,0,1,0,0,0,1
57,2015-01-04,582,1,0,0,0,1,0,1,0
58,2015-01-04,873,1,0,0,0,1,1,0,0
59,2015-01-04,245,1,0,0,0,1,0,0,1
60,2015-01-04,589,0,1,0,1,0,0,1,0
61,2015-01-04,889,0,1,0,1,0,1,0,0
62,2015-01-04,255,0,1,0,1,0,0,0,1
63,2015-01-04,957,0,1,0,0,1,0,1,0
64,2015-01-04,1540,0,1,0,0,1,1,0,0
65,2015-01-04,455,0,1,0,0,1,0,0,1
66,2015-01-04,406,0,0,1,1,0,0,1,0
67,2015-01-04,697,0,0,1,1,0,1,0,0
68,2015-01-04,169,0,0,1,1,0,0,0,1
69,2015-01-04,657,0,0,1,0,1,0,1,0
70,2015-01-04,1112,0,0,1,0,1,1,0,0
71,2015-01-04,300,0,0,1,0,1,0,0,1
72,2015-01-05,243,1,0,0,1,0,0,1,0
73,2015-01-05,378,1,0,0,1,0,1,0,0
74,2015-01-05,102,1,0,0,1,0,0,0,1
75,2015-01-05,423,1,0,0,0,1,0,1,0
76,2015-01-05,668,1,0,0,0,1,1,0,0
77,2015-01-05,187,1,0,0,0,1,0,0,1
78,2015-01-05,435,0,1,0,1,0,0,1,0
79,2015-01-05,671,0,1,0,1,0,1,0,0
80,2015-01-05,184,0,1,0,1,0,0,0,1
81,2015-01-05,739,0,1,0,0,1,0,1,0
82,2015-01-05,1126,0,1,0,0,1,1,0,0
83,2015-01-05,310,0,1,0,0,1,0,0,1
84,2015-01-05,298,0,0,1,1,0,0,1,0
85,2015-01-05,442,0,0,1,1,0,1,0,0
86,2015-01-05,127,0,0,1,1,0,0,0,1
87,2015-01-05,512,0,0,1,0,1,0,1,0
88,2015-01-05,796,0,0,1,0,1,1,0,0
89,2015-01-05,227,0,0,1,0,1,0,0,1
90,2015-01-06,223,1,0,0,1,0,0,1,0
91,2015-01-06,389,1,0,0,1,0,1,0,0
92,2015-01-06,99,1,0,0,1,0,0,0,1
93,2015-01-06,407,1,0,0,0,1,0,1,0
94,2015-01-06,636,1,0,0,0,1,1,0,0
95,2015-01-06,168,1,0,0,0,1,0,0,1
96,2015-01-06,402,0,1,0,1,0,0,1,0
97,2015-01-06,683,0,1,0,1,0,1,0,0
98,2015-01-06,181,0,1,0,1,0,0,0,1
99,2015-01-06,681,0,1,0,0,1,0,1,0
100,2015-01-06,1131,0,1,0,0,1,1,0,0
101,2015-01-06,306,0,1,0,0,1,0,0,1
102,2015-01-06,256,0,0,1,1,0,0,1,0
103,2015-01-06,411,0,0,1,1,0,1,0,0
104,2015-01-06,111,0,0,1,1,0,0,0,1
105,2015-01-06,471,0,0,1,0,1,0,1,0
106,2015-01-06,853,0,0,1,0,1,1,0,0
107,2015-01-06,206,0,0,1,0,1,0,0,1
108,2015-01-07,229,1,0,0,1,0,0,1,0
109,2015-01-07,342,1,0,0,1,0,1,0,0
110,2015-01-07,91,1,0,0,1,0,0,0,1
111,2015-01-07,356,1,0,0,0,1,0,1,0
112,2015-01-07,576,1,0,0,0,1,1,0,0
113,2015-01-07,173,1,0,0,0,1,0,0,1
114,2015-01-07,371,0,1,0,1,0,0,1,0
115,2015-01-07,504,0,1,0,1,0,1,0,0
116,2015-01-07,149,0,1,0,1,0,0,0,1
117,2015-01-07,653,0,1,0,0,1,0,1,0
118,2015-01-07,958,0,1,0,0,1,1,0,0
119,2015-01-07,262,0,1,0,0,1,0,0,1
120,2015-01-07,256,0,0,1,1,0,0,1,0
121,2015-01-07,415,0,0,1,1,0,1,0,0
122,2015-01-07,119,0,0,1,1,0,0,0,1
123,2015-01-07,442,0,0,1,0,1,0,1,0
124,2015-01-07,689,0,0,1,0,1,1,0,0
125,2015-01-07,208,0,0,1,0,1,0,0,1
126,2015-01-08,205,1,0,0,1,0,0,1,0
